Old Name,Acct #,Meter #,Activity Code,Usage Date,Gallons,Current $
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,7/1/2023,0,$193.67 
Biology -Fire,4327-2435-1015,Fire5,FP1015,7/1/2023,0,$193.67 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,7/1/2023,0,$193.67 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,7/1/2023,0,$193.67 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,7/1/2023,0,$193.67 
Ryon Lab -Fire,4327-2434-7013,Fire4,FP7013,7/1/2023,0,$193.67 
Wiess College -Fire,4327-6955-7013,Fire1,CP7013,7/1/2023,0,$193.67 
Mechanical Engineering - Fire,4328-3919-9010,Fire8,CP3919,7/1/2023,0,$193.67 
FIRE9,9000-1589-2012,Fire9,FP2012,7/1/2023,0,$193.67 
FIRE10,9000-1589-3010,Fire10,FP3010,7/1/2023,0,$193.67 
FIRE11,9000-1589-4018,Fire11,FP4018,7/1/2023,0,$193.67 
FIRE12,9000-1589-5015,Fire12,FP5015,7/1/2023,0,$82.76 
FIRE13,9000-1589-6013,Fire13,FP6013,7/1/2023,0,$193.67 
FIRE14,9000-1702-4010,Fire14,FP4010,7/1/2023,0,$193.67 
FIRE15,9000-1702-5017,Fire15,FP2501,7/1/2023,0,$193.67 
FIRE16,9000-1702-6015,Fire16,FP2601,7/1/2023,0,$193.67 
FIRE17,9000-1702-7013,Fire17,FP2701,7/1/2023,0,$193.67 
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,7/1/2023,"1,200",$108.55 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,7/1/2023,"5,500,000","$94,512.30 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,7/1/2023,0,"($67,827.38)"
Wiess College,4327-8232-9010,70078262,CP9010,7/1/2023,"4,060,000","$70,028.31 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,7/1/2023,0,"($39,167.48)"
Water Well,5010-0001-8017,911279,CP8017,7/1/2023,"4,619,000","$44,705.90 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,7/1/2023,"58,000","$1,019.36 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,7/1/2023,"369,000","$6,871.50 "
Annex Building,9000-1598-3019,10251022,CP3019,7/1/2023,"14,000",$287.19 
Baker Hall,4327-3330-2017,70247885,CP2017,7/1/2023,"10,000",$362.17 
BRC,4328-4330-1016,8528116,CP1016,7/1/2023,"295,250","$5,607.43 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,7/1/2023,"23,000","$1,030.64 "
Dell Butcher ,4327-3548-8012,70246143,CP8012,7/1/2023,"93,000","$2,033.93 "
Football Stadium,9000-1598-4017,70109904,CP4017,7/1/2023,"322,000","$6,065.92 "
Jones  School,4327-8726-4014,70075189,CP8726,7/1/2023,"130,000","$2,668.11 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,7/1/2023,"5,000",$632.54 
Martel College,4327-8386-6010,70078261,CP6010,7/1/2023,"46,000","$1,228.35 "
O'Connor Building,8510-0028-9013,70413652,CP9013,7/1/2023,0,$601.50 
President's House,5603-3696-6430,64247,CP6430,7/1/2023,"5,000",$181.57 
Wellness Center,4328-4428-4013,70210599,CP4013,7/1/2023,"113,000","$2,124.54 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,7/1/2023,"374,500","$4,634.16 "
A-North Lawn,4327-6506-4014,1019851,CP4014,7/1/2023,"1,000",$30.53 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,7/1/2023,"42,000",$536.88 
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,7/1/2023,"324,000","$4,019.58 "
B-South Lawn,4327-6506-5011,208990,CP5011,7/1/2023,"536,000","$6,637.78 "
BRC Lawn,9000-1715-8016,6589556,CP5801,7/1/2023,"78,000",$978.78 
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,7/1/2023,"7,000",$104.63 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,7/1/2023,"158,000","$1,969.48 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,7/1/2023,"19,000",$243.74 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,7/1/2023,0,$18.18 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,7/1/2023,"37,000",$475.13 
Lovett College Lawn,4328-4952-4017,10019874,CP0018,7/1/2023,"762,000","$9,428.88 "
North College Lawn ,4328-4699-6010,9064832,LN6010,7/1/2023,"134,000","$1,673.08 "
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,7/1/2023,"213,000","$2,648.73 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,7/1/2023,"56,000",$709.78 
Wiess Lawn A,4327-8769-4012,13001508,CP4012,7/1/2023,"213,000","$2,648.73 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,7/1/2023,"31,000",$401.03 
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,8/1/2023,0,$193.67 
Biology -Fire,4327-2435-1015,Fire5,FP1015,8/1/2023,0,$193.67 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,8/1/2023,0,$193.67 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,8/1/2023,0,$193.67 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,8/1/2023,0,$193.67 
Ryon Lab -Fire,4327-2434-7013,Fire4,FP7013,8/1/2023,0,$193.67 
Wiess College -Fire,4327-6955-7013,Fire1,CP7013,8/1/2023,0,$193.67 
Mechanical Engineering - Fire,4328-3919-9010,Fire8,CP3919,8/1/2023,0,$193.67 
FIRE9,9000-1589-2012,Fire9,FP2012,8/1/2023,0,$193.67 
FIRE10,9000-1589-3010,Fire10,FP3010,8/1/2023,0,$193.67 
FIRE11,9000-1589-4018,Fire11,FP4018,8/1/2023,0, $-   
FIRE12,9000-1589-5015,Fire12,FP5015,8/1/2023,0, $-   
FIRE13,9000-1589-6013,Fire13,FP6013,8/1/2023,0, $-   
FIRE14,9000-1702-4010,Fire14,FP4010,8/1/2023,0, $-   
FIRE15,9000-1702-5017,Fire15,FP2501,8/1/2023,0, $-   
FIRE16,9000-1702-6015,Fire16,FP2601,8/1/2023,0, $-   
FIRE17,9000-1702-7013,Fire17,FP2701,8/1/2023,0, $-   
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,8/1/2023,"1,200",$108.55 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,8/1/2023,"5,500,000","$94,512.30 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,8/1/2023,0,"($75,649.92)"
Wiess College,4327-8232-9010,70078262,CP9010,8/1/2023,"4,577,000","$78,939.82 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,8/1/2023,0,"($43,331.49)"
Water Well,5010-0001-8017,911279,CP8017,8/1/2023,"8,703,000","$83,953.14 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,8/1/2023,"58,000","$1,019.36 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,8/1/2023,"481,000","$8,791.18 "
Annex Building,9000-1598-3019,10251022,CP3019,8/1/2023,"25,000",$475.73 
Baker Hall,4327-3330-2017,70247885,CP2017,8/1/2023,"14,000",$430.73 
BRC,4328-4330-1016,8528116,CP1016,8/1/2023,"295,250","$5,607.43 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,8/1/2023,"18,000",$748.43 
Dell Butcher ,4327-3548-8012,70246143,CP8012,8/1/2023,"32,000",$988.39 
Football Stadium,9000-1598-4017,70109904,CP4017,8/1/2023,"624,000","$11,242.20 "
Jones  School,4327-8726-4014,70075189,CP8726,8/1/2023,"221,000","$4,227.85 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,8/1/2023,"5,000",$632.54 
Martel College,4327-8386-6010,70078261,CP6010,8/1/2023,"16,000",$714.15 
O'Connor Building,8510-0028-9013,70413652,CP9013,8/1/2023,0,$546.84 
President's House,5603-3696-6430,64247,CP6430,8/1/2023,"13,000",$371.68 
Wellness Center,4328-4428-4013,70210599,CP4013,8/1/2023,"189,000","$3,786.30 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,8/1/2023,"638,000","$7,897.48 "
A-North Lawn,4327-6506-4014,1019851,CP4014,8/1/2023,0,$9.09 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,8/1/2023,"33,000",$425.73 
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,8/1/2023,"458,000","$5,674.48 "
B-South Lawn,4327-6506-5011,208990,CP5011,8/1/2023,"902,000","$11,157.88 "
BRC Lawn,9000-1715-8016,6589556,CP5801,8/1/2023,"155,000","$1,929.73 "
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,8/1/2023,"7,000",$104.63 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,8/1/2023,"210,000","$2,611.68 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,8/1/2023,"23,000",$302.23 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,8/1/2023,0,$18.18 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,8/1/2023,"176,000","$2,191.78 "
Lovett College Lawn,4328-4952-4017,10019874,CP0018,8/1/2023,"764,000","$9,453.58 "
North College Lawn ,4328-4699-6010,9064832,LN6010,8/1/2023,"468,000","$6,685.75 "
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,8/1/2023,"292,000","$3,624.38 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,8/1/2023,"555,000","$6,872.43 "
Wiess Lawn A,4327-8769-4012,13001508,CP4012,8/1/2023,"196,000","$2,438.78 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,8/1/2023,"702,000","$8,847.47 "
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,9/1/2023,0,$193.67 
Biology -Fire,4327-2435-1015,Fire5,FP1015,9/1/2023,0,$193.67 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,9/1/2023,0,$193.67 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,9/1/2023,0,$193.67 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,9/1/2023,0,$193.67 
Ryon Lab -Fire,4327-2434-7013,Fire4,FP7013,9/1/2023,0,$193.67 
Wiess College -Fire,4327-6955-7013,Fire1,CP7013,9/1/2023,0,$193.67 
Mechanical Engineering - Fire,4328-3919-9010,Fire8,CP3919,9/1/2023,0,$193.67 
FIRE9,9000-1589-2012,Fire9,FP2012,9/1/2023,0,$193.67 
FIRE10,9000-1589-3010,Fire10,FP3010,9/1/2023,0,$193.67 
FIRE11,9000-1589-4018,Fire11,FP4018,9/1/2023,0,$193.67 
FIRE12,9000-1589-5015,Fire12,FP5015,9/1/2023,0,$82.76 
FIRE13,9000-1589-6013,Fire13,FP6013,9/1/2023,0,$193.67 
FIRE14,9000-1702-4010,Fire14,FP4010,9/1/2023,0,$193.67 
FIRE15,9000-1702-5017,Fire15,FP2501,9/1/2023,0,$193.67 
FIRE16,9000-1702-6015,Fire16,FP2601,9/1/2023,0,$193.67 
FIRE17,9000-1702-7013,Fire17,FP2701,9/1/2023,0,$193.67 
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,9/1/2023,"1,200",$108.55 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,9/1/2023,"8,904,000","$205,239.52 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,9/1/2023,0,"($66,654.96)"
Wiess College,4327-8232-9010,70078262,CP9010,9/1/2023,"2,105,000","$36,519.61 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,9/1/2023,0,"($20,229.05)"
Water Well,5010-0001-8017,911279,CP8017,9/1/2023,"10,781,000","$103,922.72 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,9/1/2023,"75,000","$1,386.45 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,9/1/2023,"413,000","$7,625.66 "
Annex Building,9000-1598-3019,10251022,CP3019,9/1/2023,"19,000",$372.89 
Baker Hall,4327-3330-2017,70247885,CP2017,9/1/2023,"18,000",$499.29 
BRC,4328-4330-1016,8528116,CP1016,9/1/2023,"295,250","$5,607.43 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,9/1/2023,"32,000",$988.39 
Dell Butcher ,4327-3548-8012,70246143,CP8012,9/1/2023,"69,000","$1,622.57 "
Football Stadium,9000-1598-4017,70109904,CP4017,9/1/2023,"547,000","$9,922.42 "
Jones  School,4327-8726-4014,70075189,CP8726,9/1/2023,"186,000","$3,627.95 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,9/1/2023,"4,000",$615.40 
Martel College,4327-8386-6010,70078261,CP6010,9/1/2023,"35,000","$1,039.81 "
O'Connor Building,8510-0028-9013,70413652,CP9013,9/1/2023,"1,697,000","$29,633.42 "
President's House,5603-3696-6430,64247,CP6430,9/1/2023,"9,000",$273.24 
Wellness Center,4328-4428-4013,70210599,CP4013,9/1/2023,"134,000","$2,843.60 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,9/1/2023,"356,000","$4,414.78 "
A-North Lawn,4327-6506-4014,1019851,CP4014,9/1/2023,0,$9.09 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,9/1/2023,"24,000",$314.58 
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,9/1/2023,"711,000","$8,799.03 "
B-South Lawn,4327-6506-5011,208990,CP5011,9/1/2023,"481,000","$5,958.53 "
BRC Lawn,9000-1715-8016,6589556,CP5801,9/1/2023,"212,000","$2,633.68 "
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,9/1/2023,"6,000",$92.28 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,9/1/2023,"135,000","$1,685.43 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,9/1/2023,"18,000",$240.48 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,9/1/2023,0,$18.18 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,9/1/2023,"199,000","$2,475.83 "
Lovett College Lawn,4328-4952-4017,10019874,CP0018,9/1/2023,"433,000","$5,365.73 "
North College Lawn ,4328-4699-6010,9064832,LN6010,9/1/2023,"151,000","$1,883.03 "
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,9/1/2023,"170,000","$2,117.68 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,9/1/2023,"300,000","$3,723.18 "
Wiess Lawn A,4327-8769-4012,13001508,CP4012,9/1/2023,"258,000","$3,448.36 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,9/1/2023,"84,000","$1,055.58 "
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,10/1/2023,0,$193.67 
Biology -Fire,4327-2435-1015,Fire5,FP1015,10/1/2023,0,$193.67 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,10/1/2023,0,$193.67 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,10/1/2023,0,$193.67 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,10/1/2023,0,$193.67 
Ryon Lab -Fire,4327-2434-7013,Fire4,FP7013,10/1/2023,0,$193.67 
Wiess College -Fire,4327-6955-7013,Fire1,CP7013,10/1/2023,0,$193.67 
Mechanical Engineering - Fire,4328-3919-9010,Fire8,CP3919,10/1/2023,0,$193.67 
FIRE9,9000-1589-2012,Fire9,FP2012,10/1/2023,0,$193.67 
FIRE10,9000-1589-3010,Fire10,FP3010,10/1/2023,0,$193.67 
FIRE11,9000-1589-4018,Fire11,FP4018,10/1/2023,0,$193.67 
FIRE12,9000-1589-5015,Fire12,FP5015,10/1/2023,0,$82.76 
FIRE13,9000-1589-6013,Fire13,FP6013,10/1/2023,0,$193.67 
FIRE14,9000-1702-4010,Fire14,FP4010,10/1/2023,0,$193.67 
FIRE15,9000-1702-5017,Fire15,FP2501,10/1/2023,0,$193.67 
FIRE16,9000-1702-6015,Fire16,FP2601,10/1/2023,0,$193.67 
FIRE17,9000-1702-7013,Fire17,FP2701,10/1/2023,0,$193.67 
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,10/1/2023,"1,000",$457.05 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,10/1/2023,"5,315,000","$92,218.69 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,10/1/2023,0,"($36,373.85)"
Wiess College,4327-8232-9010,70078262,CP9010,10/1/2023,"989,000","$17,441.50 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,10/1/2023,0,"($10,868.91)"
Water Well,5010-0001-8017,911279,CP8017,10/1/2023,"10,157,000","$97,926.08 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,10/1/2023,"89,000","$1,626.41 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,10/1/2023,"382,000","$7,094.32 "
Annex Building,9000-1598-3019,10251022,CP3019,10/1/2023,"19,000",$372.89 
Baker Hall,4327-3330-2017,70247885,CP2017,10/1/2023,"22,000",$567.85 
BRC,4328-4330-1016,8528116,CP1016,10/1/2023,"295,250","$5,607.43 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,10/1/2023,"14,000",$689.02 
Dell Butcher ,4327-3548-8012,70246143,CP8012,10/1/2023,"46,000","$1,228.35 "
Football Stadium,9000-1598-4017,70109904,CP4017,10/1/2023,"393,000","$7,282.86 "
Jones  School,4327-8726-4014,70075189,CP8726,10/1/2023,"167,000","$3,302.29 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,10/1/2023,"5,000",$632.54 
Martel College,4327-8386-6010,70078261,CP6010,10/1/2023,"90,000","$1,982.51 "
O'Connor Building,8510-0028-9013,70413652,CP9013,10/1/2023,"572,000","$10,350.92 "
President's House,5603-3696-6430,64247,CP6430,10/1/2023,"14,000",$398.75 
Wellness Center,4328-4428-4013,70210599,CP4013,10/1/2023,"135,000","$2,860.74 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,10/1/2023,"65,000",$820.93 
A-North Lawn,4327-6506-4014,1019851,CP4014,10/1/2023,0,$18.18 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,10/1/2023,"99,000","$1,240.83 "
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,10/1/2023,"128,000","$1,598.98 "
B-South Lawn,4327-6506-5011,208990,CP5011,10/1/2023,"363,000","$4,501.23 "
BRC Lawn,9000-1715-8016,6589556,CP5801,10/1/2023,"243,000","$3,016.53 "
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,10/1/2023,"3,000",$56.28 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,10/1/2023,"171,000","$2,130.03 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,10/1/2023,"19,000",$252.83 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,10/1/2023,0,$18.18 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,10/1/2023,"150,000","$1,892.60 "
Lovett College Lawn,4328-4952-4017,10019874,CP0018,10/1/2023,"258,000","$3,204.48 "
North College Lawn ,4328-4699-6010,9064832,LN6010,10/1/2023,"565,000","$7,053.91 "
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,10/1/2023,"199,000","$2,475.83 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,10/1/2023,"166,000","$2,068.28 "
Wiess Lawn A,4327-8769-4012,13001508,CP4012,10/1/2023,"300,000","$3,747.57 "
