Old Name,Acct #,Meter #,Activity Code,Usage Date,Gallons,Current $
Wiess Lawn A,4327-8769-4012,13001508,CP4012,2/1/2024,"106,000","$1,374.98 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,2/1/2024,"10,000",$266.56 
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,3/1/2024,0,$193.67 
Biology -Fire,4327-2435-1015,Fire5,FP1015,3/1/2024,0,$193.67 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,3/1/2024,0,$193.67 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,3/1/2024,0,$193.67 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,3/1/2024,0,$193.67 
Ryon Lab -Fire,4327-2434-7013,Fire4,FP7013,3/1/2024,0,$193.67 
Wiess College -Fire,4327-6955-7013,Fire1,CP7013,3/1/2024,0,$193.67 
Mechanical Engineering - Fire,4328-3919-9010,Fire8,CP3919,3/1/2024,0,$193.67 
FIRE9,9000-1589-2012,Fire9,FP2012,3/1/2024,0,$193.67 
FIRE10,9000-1589-3010,Fire10,FP3010,3/1/2024,0,$193.67 
FIRE11,9000-1589-4018,Fire11,FP4018,3/1/2024,0,$193.67 
FIRE12,9000-1589-5015,Fire12,FP5015,3/1/2024,0,$82.76 
FIRE13,9000-1589-6013,Fire13,FP6013,3/1/2024,0,$193.67 
FIRE14,9000-1702-4010,Fire14,FP4010,3/1/2024,0,$193.67 
FIRE15,9000-1702-5017,Fire15,FP2501,3/1/2024,0,$193.67 
FIRE16,9000-1702-6015,Fire16,FP2601,3/1/2024,0,$193.67 
FIRE17,9000-1702-7013,Fire17,FP2701,3/1/2024,0,$193.67 
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,3/1/2024,"2,000",$480.04 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,3/1/2024,"5,604,000","$97,151.13 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,3/1/2024,0,"($31,938.84)"
Wiess College,4327-8232-9010,70078262,CP9010,3/1/2024,"1,122,000","$20,008.30 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,3/1/2024,0,"($14,778.26)"
Water Well,5010-0001-8017,911279,CP8017,3/1/2024,"9,489,000","$92,650.00 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,3/1/2024,"163,000","$2,936.24 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,3/1/2024,"621,000","$11,352.84 "
Annex Building,9000-1598-3019,10251022,CP3019,3/1/2024,"17,000",$342.89 
Baker Hall,4327-3330-2017,70247885,CP2017,3/1/2024,"14,000",$430.23 
BRC,4328-4330-1016,8528116,CP1016,3/1/2024,"219,500","$4,060.94 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,3/1/2024,"25,000",$880.51 
Dell Butcher ,4327-3548-8012,70246143,CP8012,3/1/2024,"99,000","$2,166.87 "
Football Stadium,9000-1598-4017,70109904,CP4017,3/1/2024,"189,000","$3,808.37 "
Jones  School,4327-8726-4014,70075189,CP8726,3/1/2024,"163,000","$3,252.51 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,3/1/2024,"2,500",$332.45 
Martel College,4327-8386-6010,70078261,CP6010,3/1/2024,"117,000","$2,479.89 "
O'Connor Building,8510-0028-9013,70413652,CP9013,3/1/2024,"294,000","$5,670.32 "
President's House,5603-3696-6430,64247,CP6430,3/1/2024,"6,000",$203.36 
Wellness Center,4328-4428-4013,70210599,CP4013,3/1/2024,"120,000","$2,619.08 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,3/1/2024,"85,000","$1,070.61 "
A-North Lawn,4327-6506-4014,1019851,CP4014,3/1/2024,0,$18.29 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,3/1/2024,"26,000",$340.39 
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,3/1/2024,"11,000",$154.94 
B-South Lawn,4327-6506-5011,208990,CP5011,3/1/2024,"242,000","$3,021.98 "
BRC Lawn,9000-1715-8016,6589556,CP5801,3/1/2024,"53,000",$672.24 
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,3/1/2024,"3,000",$55.67 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,3/1/2024,"193,000","$2,416.30 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,3/1/2024,"19,000",$254.42 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,3/1/2024,"8,000",$118.42 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,3/1/2024,"61,000",$776.92 
Lovett College Lawn,4328-4952-4017,10019874,CP0018,3/1/2024,"369,000","$4,586.82 "
North College Lawn ,4328-4699-6010,9064832,LN6010,3/1/2024,"194,000","$2,428.72 "
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,3/1/2024,"95,000","$1,195.91 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,3/1/2024,"146,000","$1,827.91 "
Wiess Lawn A,4327-8769-4012,13001508,CP4012,3/1/2024,"139,000","$1,745.35 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,3/1/2024,"11,000",$154.94 
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,4/1/2024,0,$195.17 
Biology -Fire,4327-2435-1015,Fire5,FP1015,4/1/2024,0,$195.17 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,4/1/2024,0,$195.17 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,4/1/2024,0,$195.17 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,4/1/2024,0,$195.17 
Ryon Lab -Fire,4327-2434-7013,Fire4,FP7013,4/1/2024,0,$195.17 
Wiess College -Fire,4327-6955-7013,Fire1,CP7013,4/1/2024,0,$195.17 
Mechanical Engineering - Fire,4328-3919-9010,Fire8,CP3919,4/1/2024,0,$195.17 
FIRE9,9000-1589-2012,Fire9,FP2012,4/1/2024,0,$195.17 
FIRE10,9000-1589-3010,Fire10,FP3010,4/1/2024,0,$195.17 
FIRE11,9000-1589-4018,Fire11,FP4018,4/1/2024,0,$195.17 
FIRE12,9000-1589-5015,Fire12,FP5015,4/1/2024,0,$83.10 
FIRE13,9000-1589-6013,Fire13,FP6013,4/1/2024,0,$195.17 
FIRE14,9000-1702-4010,Fire14,FP4010,4/1/2024,0,$195.17 
FIRE15,9000-1702-5017,Fire15,FP2501,4/1/2024,0,$195.17 
FIRE16,9000-1702-6015,Fire16,FP2601,4/1/2024,0,$195.17 
FIRE17,9000-1702-7013,Fire17,FP2701,4/1/2024,0,$195.17 
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,4/1/2024,"1,000",$493.13 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,4/1/2024,"7,635,000","$143,346.91 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,4/1/2024,0,"($55,534.84)"
Wiess College,4327-8232-9010,70078262,CP9010,4/1/2024,"1,446,000","$27,427.93 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,4/1/2024,0,"($14,892.67)"
Water Well,5010-0001-8017,911279,CP8017,4/1/2024,"8,625,000","$91,001.49 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,4/1/2024,"217,000","$4,152.65 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,4/1/2024,"278,000","$5,772.10 "
Annex Building,9000-1598-3019,10251022,CP3019,4/1/2024,"20,000",$422.71 
Baker Hall,4327-3330-2017,70247885,CP2017,4/1/2024,"19,000",$557.76 
BRC,4328-4330-1016,8528116,CP1016,4/1/2024,"324,000","$6,629.54 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,4/1/2024,"30,000","$1,034.19 "
Dell Butcher ,4327-3548-8012,70246143,CP8012,4/1/2024,"74,000","$1,853.85 "
Football Stadium,9000-1598-4017,70109904,CP4017,4/1/2024,"247,000","$5,194.26 "
Jones  School,4327-8726-4014,70075189,CP8726,4/1/2024,"169,000","$3,624.65 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,4/1/2024,"2,500",$332.45 
Martel College,4327-8386-6010,70078261,CP6010,4/1/2024,"202,000","$4,239.77 "
O'Connor Building,8510-0028-9013,70413652,CP9013,4/1/2024,"347,000","$7,058.76 "
President's House,5603-3696-6430,64247,CP6430,4/1/2024,"5,000",$191.25 
Wellness Center,4328-4428-4013,70210599,CP4013,4/1/2024,"121,000","$2,846.12 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,4/1/2024,"42,000",$556.34 
A-North Lawn,4327-6506-4014,1019851,CP4014,4/1/2024,0,$18.74 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,4/1/2024,"60,000",$786.74 
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,4/1/2024,"25,000",$338.74 
B-South Lawn,4327-6506-5011,208990,CP5011,4/1/2024,"351,000","$4,511.54 "
BRC Lawn,9000-1715-8016,6589556,CP5801,4/1/2024,"43,000",$777.83 
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,4/1/2024,"3,000",$57.14 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,4/1/2024,"97,000","$1,260.34 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,4/1/2024,"19,000",$261.94 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,4/1/2024,"13,000",$185.14 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,4/1/2024,"165,000","$2,130.74 "
Lovett College Lawn,4328-4952-4017,10019874,CP0018,4/1/2024,"294,000","$3,781.94 "
North College Lawn ,4328-4699-6010,9064832,LN6010,4/1/2024,"231,000","$2,975.54 "
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,4/1/2024,"138,000","$1,785.14 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,4/1/2024,"99,000","$1,285.94 "
Wiess Lawn A,4327-8769-4012,13001508,CP4012,4/1/2024,"305,000","$3,922.74 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,4/1/2024,"30,000",$402.74 
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,5/1/2024,0,$195.17 
Biology -Fire,4327-2435-1015,Fire5,FP1015,5/1/2024,0,$195.17 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,5/1/2024,0,$195.17 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,5/1/2024,0,$195.17 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,5/1/2024,0,$195.17 
Ryon Lab -Fire,4327-2434-7013,Fire4,FP7013,5/1/2024,0,$195.17 
Wiess College -Fire,4327-6955-7013,Fire1,CP7013,5/1/2024,0,$195.17 
Mechanical Engineering - Fire,4328-3919-9010,Fire8,CP3919,5/1/2024,0,$195.17 
FIRE9,9000-1589-2012,Fire9,FP2012,5/1/2024,0,$195.17 
FIRE10,9000-1589-3010,Fire10,FP3010,5/1/2024,0,$195.17 
FIRE11,9000-1589-4018,Fire11,FP4018,5/1/2024,0,$195.17 
FIRE12,9000-1589-5015,Fire12,FP5015,5/1/2024,0,$83.10 
FIRE13,9000-1589-6013,Fire13,FP6013,5/1/2024,0,$195.17 
FIRE14,9000-1702-4010,Fire14,FP4010,5/1/2024,0,$195.17 
FIRE15,9000-1702-5017,Fire15,FP2501,5/1/2024,0,$195.17 
FIRE16,9000-1702-6015,Fire16,FP2601,5/1/2024,0,$195.17 
FIRE17,9000-1702-7013,Fire17,FP2701,5/1/2024,0,$195.17 
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,5/1/2024,"1,000",$493.13 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,5/1/2024,"7,303,000","$137,106.97 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,5/1/2024,0,"($62,439.91)"
Wiess College,4327-8232-9010,70078262,CP9010,5/1/2024,"3,352,000","$63,213.07 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,5/1/2024,0,"($25,917.66)"
Water Well,5010-0001-8017,911279,CP8017,5/1/2024,"3,408,000","$36,170.82 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,5/1/2024,"93,500","$1,796.72 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,5/1/2024,"366,000","$7,412.42 "
Annex Building,9000-1598-3019,10251022,CP3019,5/1/2024,"21,000",$441.35 
Baker Hall,4327-3330-2017,70247885,CP2017,5/1/2024,"17,000",$521.83 
BRC,4328-4330-1016,8528116,CP1016,5/1/2024,"250,000","$5,250.18 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,5/1/2024,"28,000",$996.91 
Dell Butcher ,4327-3548-8012,70246143,CP8012,5/1/2024,"8,000",$623.61 
Football Stadium,9000-1598-4017,70109904,CP4017,5/1/2024,"243,000","$5,119.70 "
Jones  School,4327-8726-4014,70075189,CP8726,5/1/2024,"87,000","$2,096.17 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,5/1/2024,"4,000",$664.74 
Martel College,4327-8386-6010,70078261,CP6010,5/1/2024,"69,000","$1,760.65 "
O'Connor Building,8510-0028-9013,70413652,CP9013,5/1/2024,"278,000","$5,772.60 "
President's House,5603-3696-6430,64247,CP6430,5/1/2024,"3,000",$128.47 
Wellness Center,4328-4428-4013,70210599,CP4013,5/1/2024,"81,000","$2,100.52 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,5/1/2024,"31,000",$415.54 
A-North Lawn,4327-6506-4014,1019851,CP4014,5/1/2024,0,$18.74 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,5/1/2024,"135,000","$1,746.74 "
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,5/1/2024,"9,000",$133.94 
B-South Lawn,4327-6506-5011,208990,CP5011,5/1/2024,"318,000","$4,089.14 "
BRC Lawn,9000-1715-8016,6589556,CP5801,5/1/2024,"63,000",$822.33 
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,5/1/2024,"3,000",$57.14 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,5/1/2024,"239,000","$3,077.94 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,5/1/2024,"18,000",$249.14 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,5/1/2024,"20,000",$274.74 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,5/1/2024,"54,000",$709.94 
Lovett College Lawn,4328-4952-4017,10019874,CP0018,5/1/2024,"392,000","$5,036.34 "
North College Lawn ,4328-4699-6010,9064832,LN6010,5/1/2024,"227,000","$2,924.34 "
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,5/1/2024,"131,000","$1,695.54 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,5/1/2024,0,$18.74 
Wiess Lawn A,4327-8769-4012,13001508,CP4012,5/1/2024,"177,000","$2,284.34 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,5/1/2024,"31,000",$415.54 
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,6/1/2024,0,$195.17 
Biology -Fire,4327-2435-1015,Fire5,FP1015,6/1/2024,0,$195.17 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,6/1/2024,0,$195.17 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,6/1/2024,0,$195.17 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,6/1/2024,0,$195.17 
Ryon Lab -Fire,4327-2434-7013,Fire4,FP7013,6/1/2024,0,$195.17 
Wiess College -Fire,4327-6955-7013,Fire1,CP7013,6/1/2024,0,$195.17 
Mechanical Engineering - Fire,4328-3919-9010,Fire8,CP3919,6/1/2024,0,$195.17 
FIRE9,9000-1589-2012,Fire9,FP2012,6/1/2024,0,$195.17 
FIRE10,9000-1589-3010,Fire10,FP3010,6/1/2024,0,$195.17 
FIRE11,9000-1589-4018,Fire11,FP4018,6/1/2024,0,$195.17 
FIRE12,9000-1589-5015,Fire12,FP5015,6/1/2024,0,$83.10 
FIRE13,9000-1589-6013,Fire13,FP6013,6/1/2024,0,$195.17 
FIRE14,9000-1702-4010,Fire14,FP4010,6/1/2024,0,$195.17 
FIRE15,9000-1702-5017,Fire15,FP2501,6/1/2024,0,$195.17 
FIRE16,9000-1702-6015,Fire16,FP2601,6/1/2024,0,$195.17 
FIRE17,9000-1702-7013,Fire17,FP2701,6/1/2024,0,$195.17 
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,6/1/2024,"1,000",$493.13 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,6/1/2024,"8,942,000","$167,760.85 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,6/1/2024,0,"($73,339.83)"
Wiess College,4327-8232-9010,70078262,CP9010,6/1/2024,"3,198,000","$60,085.21 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,6/1/2024,0,"($32,927.83)"
Water Well,5010-0001-8017,911279,CP8017,6/1/2024,"2,368,000","$25,240.42 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,6/1/2024,"93,500","$1,796.73 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,6/1/2024,"200,000","$4,318.18 "
Annex Building,9000-1598-3019,10251022,CP3019,6/1/2024,"14,000",$310.87 
Baker Hall,4327-3330-2017,70247885,CP2017,6/1/2024,"12,000",$428.63 
BRC,4328-4330-1016,8528116,CP1016,6/1/2024,"251,000","$5,268.82 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,6/1/2024,"28,000",$996.91 
Dell Butcher ,4327-3548-8012,70246143,CP8012,6/1/2024,"44,500","$1,066.72 "
Football Stadium,9000-1598-4017,70109904,CP4017,6/1/2024,"284,000","$5,883.94 "
Jones  School,4327-8726-4014,70075189,CP8726,6/1/2024,"50,000","$1,406.49 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,6/1/2024,"2,000",$627.46 
Martel College,4327-8386-6010,70078261,CP6010,6/1/2024,"331,000","$6,644.33 "
O'Connor Building,8510-0028-9013,70413652,CP9013,6/1/2024,"212,000","$4,542.36 "
President's House,5603-3696-6430,64247,CP6430,6/1/2024,"3,000",$128.47 
Wellness Center,4328-4428-4013,70210599,CP4013,6/1/2024,"113,000","$2,697.00 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,6/1/2024,"64,000",$837.94 
A-North Lawn,4327-6506-4014,1019851,CP4014,6/1/2024,0,$18.74 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,6/1/2024,"112,000","$1,452.34 "
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,6/1/2024,"72,000",$940.34 
B-South Lawn,4327-6506-5011,208990,CP5011,6/1/2024,"333,000","$4,281.14 "
BRC Lawn,9000-1715-8016,6589556,CP5801,6/1/2024,"60,000",$783.93 
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,6/1/2024,"20,000",$274.74 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,6/1/2024,"217,000","$2,796.34 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,6/1/2024,"17,000",$236.34 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,6/1/2024,"5,000",$82.74 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,6/1/2024,"144,000","$1,861.94 "
Lovett College Lawn,4328-4952-4017,10019874,CP0018,6/1/2024,"292,000","$3,756.34 "
North College Lawn ,4328-4699-6010,9064832,LN6010,6/1/2024,"11,000",$159.54 
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,6/1/2024,"152,000","$1,964.34 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,6/1/2024,"262,000","$3,372.34 "
Wiess Lawn A,4327-8769-4012,13001508,CP4012,6/1/2024,"169,000","$2,181.94 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,6/1/2024,"25,000",$338.74 
